nom, addresse, téléphone, site internet, réseaux sociaux, email, horaire, nombres de note, note, latitude, longitude, country, city, category, code, info, zip, url
"SWIIPE COMMUNICATION", "32 Bd Maréchal Foch, 06600 Antibes", "06 14 13 50 91", "swiipe.fr", "", "HELLO@SWIIPE.FR", "jeudi, de 08:30 à 19:00; vendredi, de 08:30 à 19:00; samedi, Fermé; dimanche, Fermé; lundi, de 08:30 à 19:00; mardi, de 08:30 à 19:00; mercredi, de 08:30 à 19:00. ", "13 ", "5,0  ", "43.579236", "7.1193693", "France", "Antibes", "Agence de marketing", "H4GC+XV Antibes", "", "06600", "https://www.google.fr/maps/place/SWIIPE+COMMUNICATION/data=!4m7!3m6!1s0x12cdd58c46a29501:0xf27758d15591e9b7!8m2!3d43.5774445!4d7.1221703!16s%2Fg%2F11j7vz1kj2!19sChIJAZWiRozVzRIRt-mRVdFYd_I?authuser=0&hl=fr&rclk=1"
"coffee marketing", "1 Rue Montaigne, 06400 Cannes", "04 93 39 87 13", "coffee-marketing.fr", "", "contact@coffee-marketing.fr", "vendredi, de 09:00 à 12:00, de 14:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 12:00, de 14:00 à 18:00; mardi, de 09:00 à 12:00, de 14:00 à 18:00; mercredi, de 09:00 à 12:00, de 14:00 à 18:00; jeudi, de 09:00 à 12:00, de 14:00 à 18:00. ", "35 ", "5,0  ", "43.5551339", "7.0175277", "France", "Cannes", "Agence de marketing", "H249+32 Cannes", "", "06400", "https://www.google.fr/maps/place/coffee+marketing/data=!4m7!3m6!1s0x12ce81ed5a218789:0x5b06ba49e6a846c1!8m2!3d43.5552391!4d7.0175378!16s%2Fg%2F1yglpfh1g!19sChIJiYchWu2BzhIRwUao5km6Bls?authuser=0&hl=fr&rclk=1"
"Colette Consulting - Sophia Antipolis", "200 Av. Roumanille Bâtiment C, 06410 Biot", "06 77 40 04 37", "coletteconsulting.com", "", "contact@coletteconsulting.fr", "jeudi, de 08:00 à 19:00; vendredi, de 08:00 à 19:00; samedi, Fermé; dimanche, Fermé; lundi, de 08:00 à 19:00; mardi, de 08:00 à 19:00; mercredi, de 08:00 à 19:00. ", "19 ", "5,0  ", "", "", "France", "Biot", "Agence de marketing", "J39G+92 Biot", "", "06410", "https://www.google.fr/maps/place/Colette+Consulting+-+Sophia+Antipolis/data=!4m7!3m6!1s0x12cc2bafd0cd8309:0x22026eda5abb6c8d!8m2!3d43.6183935!4d7.0750344!16s%2Fg%2F11qjzjrcmt!19sChIJCYPN0K8rzBIRjWy7WtpuAiI?authuser=0&hl=fr&rclk=1"
"Second Sens", "81 Rue de France, 06000 Nice", "06 12 66 19 82", "secondsens.fr", "", "devis@secondsens.fr", "jeudi, de 09:30 à 18:00; vendredi, de 09:30 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:30 à 18:00; mardi, de 09:30 à 18:00; mercredi, de 09:30 à 18:00. ", "10 ", "5,0  ", "43.6951311", "7.2570449", "France", "Nice", "Agence de marketing", "M7W4+3R Nice", "", "06000", "https://www.google.fr/maps/place/Second+Sens/data=!4m7!3m6!1s0x12cddaaa1a08db67:0x281f5db9805dea81!8m2!3d43.6952058!4d7.25711!16s%2Fg%2F11zg6lnnm!19sChIJZ9sIGqrazRIRgepdgLldHyg?authuser=0&hl=fr&rclk=1"
"HBC MARKETING", "21 Av. Philippe Rochat, 06600 Antibes", "06 19 69 48 39", "hbcmarketing.fr", "", "contact@hbcmarketing.fr", "jeudi, de 09:00 à 12:00, de 14:00 à 18:30; vendredi, de 09:00 à 12:00, de 14:00 à 18:30; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 12:00, de 14:00 à 18:30; mardi, de 09:00 à 12:00, de 14:00 à 18:30; mercredi, de 09:00 à 12:00, de 14:00 à 18:30. ", "", "", "43.5853754", "7.1160319", "France", "Antibes", "Agence de marketing", "H4P8+45 Antibes", "", "06600", "https://www.google.fr/maps/place/HBC+MARKETING/data=!4m7!3m6!1s0x12cdd56b8f5e6f07:0x3c846d1444ab314b!8m2!3d43.585336!4d7.1154791!16s%2Fg%2F11swpgnh7x!19sChIJB29ej2vVzRIRSzGrRBRthDw?authuser=0&hl=fr&rclk=1"
"Vae Victis", "37 Rue Clément Roassal, 06000 Nice", "07 49 92 01 14", "vae-victis.fr", "", "contact@vae-victis.fr", "dimanche, Fermé; lundi, Fermé; mardi, de 09:00 à 20:00; mercredi, de 09:00 à 20:00; jeudi, de 09:00 à 20:00; vendredi, de 09:00 à 20:00; samedi, de 09:00 à 20:00. ", "6 ", "5,0  ", "43.7080401", "7.2586679", "France", "Nice", "Agence de marketing", "P755+6G Nice", "", "06000", "https://www.google.fr/maps/place/Vae+Victis/data=!4m7!3m6!1s0x6d766c40cb357327:0xcf1e29f9134072ba!8m2!3d43.7080368!4d7.2588178!16s%2Fg%2F11swzs6mxw!19sChIJJ3M1y0Bsdm0RunJAE_kpHs8?authuser=0&hl=fr&rclk=1"
"Agence Generation Leads", "City Buisness Centre, 37-41 Bd Dubouchage C/o, 06000 Nice", "04 93 13 17 56", "agence-generation-leads.fr", "", "support@o2switch.fr", "dimanche, Fermé; lundi, de 08:00 à 19:00; mardi, de 08:00 à 19:00; mercredi, de 08:00 à 19:00; jeudi, de 08:00 à 19:00; vendredi, de 08:00 à 19:00; samedi, de 08:00 à 19:00. ", "5 ", "5,0  ", "", "", "France", "Nice", "Agence de marketing", "P729+8P Nice", "", "06000", "https://www.google.fr/maps/place/Agence+Generation+Leads/data=!4m7!3m6!1s0x12cddb792a8be5b3:0xec0260da47ac8200!8m2!3d43.700824!4d7.2693625!16s%2Fg%2F11pzrkns8s!19sChIJs-WLKnnbzRIRAIKsR9pgAuw?authuser=0&hl=fr&rclk=1"
"Base Sud", "20 Avenue Notre Dame, 06000 Nice", "04 97 20 27 20", "base-sud.com", "", "contact@base-sud.com", "dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé. ", "11 ", "5,0  ", "43.7040798", "7.2680081", "France", "Nice", "Agence de marketing", "P739+M7 Nice", "", "06000", "https://www.google.fr/maps/place/Base+Sud/data=!4m7!3m6!1s0x12cddaa80c070a0d:0x1301b8d88835f1c6!8m2!3d43.7041387!4d7.2681455!16s%2Fg%2F11cs3ysrny!19sChIJDQoHDKjazRIRxvE1iNi4ARM?authuser=0&hl=fr&rclk=1"
"Agence AMS Communication | Adrénaline Media Services", "40 avenue Sainte Marguerite Centre Commercial Araucaria, 06200 Nice", "06 68 37 28 15", "agenceams.com", "", "contact@agenceams.com", "samedi, de 08:00 à 22:00; dimanche, Fermé; lundi, de 08:00 à 22:00; mardi, de 08:00 à 22:00; mercredi, de 08:00 à 22:00; jeudi, de 08:00 à 22:00; vendredi, de 08:00 à 22:00. ", "3 ", "5,0  ", "", "", "France", "Nice", "Agence de marketing", "M6HC+95 Nice", "", "06200", "https://www.google.fr/maps/place/Agence+AMS+Communication+%7C+Adr%C3%A9naline+Media+Services/data=!4m7!3m6!1s0x12cdd35d365d557f:0x8461509c59665137!8m2!3d43.6784071!4d7.2204383!16s%2Fg%2F11fgk1nh9y!19sChIJf1VdNl3TzRIRN1FmWZxQYYQ?authuser=0&hl=fr&rclk=1"
"Editoile", "88 Rue Judaïque, 33000 Bordeaux", "05 24 07 82 50", "editoile.fr", "", "info@editoile.fr", "jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00. ", "48 ", "5,0  ", "44.8411658", "-0.5861278", "France", "Bordeaux", "Agence de marketing", "RCR7+FG Bordeaux", "", "33000", "https://www.google.fr/maps/place/Editoile/data=!4m7!3m6!1s0xd552878087be953:0xbef249fc5adcec37!8m2!3d44.8411375!4d-0.5861411!16s%2Fg%2F12ml2yvl9!19sChIJU-l7CHgoVQ0RN-zcWvxJ8r4?authuser=0&hl=fr&rclk=1"
